benchmark,target_contacts,iteration,label,qubo_file,warm_start_file,warm_contacts,outdir,result_file,status,trials,workers,steps,t_init,t_final,pivot_prob,pull_prob,reptation_prob,regrow_prob,frag_regrow_prob,regrow_max_len,archive_size,contact_bias,qubo_polish_frac,seed,qubo_L,qubo_V,qubo_hp_reward,qubo_lambda_onehot,qubo_lambda_site,qubo_lambda_chain,qubo_enable_3body,qubo_enable_4body,qubo_cubic_terms,qubo_quartic_terms,wrapper_seconds,command,notes,contacts,energy,successes,actual_trials,hit_rate,target_hit
20merA,9,1,nowarm_4tr_20k,runs\20merA\local\Final_run\fix7_pairwise_fresh_qubo\qubos\20merA_pairwise_L6_hp1p0.json,,,runs\20merA\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_4tr_20k,runs\20merA\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_4tr_20k\best_overall.json,ok,4,4,20000,8.0,0.0006,0.5,0.08,0.12,0.05,0.16,10,24,0.4,0.3,920020001,6,720,-1.0,324.0,324.0,324.0,False,False,0,0,1.3364639282226562,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\20merA\local\Final_run\fix7_pairwise_fresh_qubo\qubos\20merA_pairwise_L6_hp1p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 4 --workers 4 --steps 20000 --t_init 8.0 --t_final 0.0006 --seed 920020001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\20merA\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_4tr_20k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 10 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.4 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,9,-6626023.148148018,2,4,0.5,yes
20merB,10,1,nowarm_16tr_50k,runs\20merB\local\Final_run\fix7_pairwise_fresh_qubo\qubos\20merB_pairwise_L6_hp1p0.json,,,runs\20merB\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_16tr_50k,runs\20merB\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_16tr_50k\best_overall.json,ok,16,8,50000,8.0,0.0006,0.5,0.08,0.12,0.05,0.16,10,24,0.4,0.3,920020101,6,720,-1.0,324.0,324.0,324.0,False,False,0,0,1.3557443618774414,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\20merB\local\Final_run\fix7_pairwise_fresh_qubo\qubos\20merB_pairwise_L6_hp1p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 16 --workers 8 --steps 50000 --t_init 8.0 --t_final 0.0006 --seed 920020101 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\20merB\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_16tr_50k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 10 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.4 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,10,-6626024.691357875,10,16,0.625,yes
24mer,9,1,nowarm_24tr_60k,runs\24mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\24mer_pairwise_L6_hp1p0.json,,,runs\24mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k,runs\24mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k\best_overall.json,ok,24,8,60000,8.0,0.0006,0.5,0.08,0.12,0.05,0.16,12,24,0.4,0.3,920024001,6,864,-1.0,324.0,324.0,324.0,False,False,0,0,1.465745210647583,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\24mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\24mer_pairwise_L6_hp1p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 24 --workers 8 --steps 60000 --t_init 8.0 --t_final 0.0006 --seed 920024001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\24mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 12 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.4 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,9,-8197023.1481480235,9,24,0.375,yes
25mer,8,1,nowarm_24tr_60k,runs\25mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\25mer_pairwise_L7_hp1p0.json,,,runs\25mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k,runs\25mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k\best_overall.json,ok,24,8,60000,8.0,0.0006,0.5,0.08,0.12,0.05,0.16,12,24,0.4,0.3,920025001,7,1225,-1.0,288.0,288.0,288.0,False,False,0,0,1.7100162506103516,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\25mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\25mer_pairwise_L7_hp1p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 24 --workers 8 --steps 60000 --t_init 8.0 --t_final 0.0006 --seed 920025001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\25mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_24tr_60k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 12 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.4 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,8,-15590430.555555185,10,24,0.4166666666666667,yes
36mer,14,1,nowarm_32tr_100k,runs\36mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\36mer_pairwise_L8_hp1p4.json,,,runs\36mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_32tr_100k,runs\36mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_32tr_100k\best_overall.json,ok,32,8,100000,10.0,0.0006,0.5,0.08,0.12,0.05,0.16,16,24,0.6,0.3,920036001,8,2304,-1.4,360.0,360.0,360.0,False,False,0,0,3.3760807514190674,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\36mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\36mer_pairwise_L8_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 32 --workers 8 --steps 100000 --t_init 10.0 --t_final 0.0006 --seed 920036001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\36mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_32tr_100k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 16 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,14,-39554049.44443787,5,32,0.15625,yes
48mer,23,1,nowarm_64tr_500k,runs\48mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\48mer_pairwise_L11_hp1p4.json,,,runs\48mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_500k,runs\48mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_500k\best_overall.json,ok,64,16,500000,10.0,0.0006,0.5,0.08,0.12,0.05,0.16,20,24,0.6,0.3,920048001,11,5808,-1.4,620.0,620.0,620.0,False,False,0,0,37.10333037376404,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\48mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\48mer_pairwise_L11_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 64 --workers 16 --steps 500000 --t_init 10.0 --t_final 0.0006 --seed 920048001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\48mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_500k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 20 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,23,-186148754.1936555,10,64,0.15625,yes
50mer,21,1,nowarm_64tr_300k,runs\50mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\50mer_pairwise_L11_hp3p2.json,,,runs\50mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_300k,runs\50mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_300k\best_overall.json,ok,64,16,300000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,24,24,0.6,0.3,920050001,11,6050,-3.2,300.0,300.0,300.0,False,False,0,0,24.86171317100525,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\50mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\50mer_pairwise_L11_hp3p2.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 64 --workers 16 --steps 300000 --t_init 12.0 --t_final 0.0006 --seed 920050001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\50mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_64tr_300k"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 24 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,21,-194614635.33322874,10,64,0.15625,yes
60mer,36,1,nowarm_256tr_2M,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json,,,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_2M,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_2M\best_overall.json,ok,256,16,2000000,15.0,0.0006,0.5,0.08,0.12,0.05,0.16,30,24,0.6,0.3,920060001,9,4860,-1.4,2116.7999999999997,2116.7999999999997,2116.7999999999997,False,False,0,0,422.33522391319275,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 15.0 --t_final 0.0006 --seed 920060001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_2M"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 30 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",fresh pairwise QUBO; no warm start,35,-111578969.90747473,0,256,0.0,no
60mer,36,2,selfwarm_256tr_2M,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_2M\best_overall.json,35,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter02_selfwarm_256tr_2M,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter02_selfwarm_256tr_2M\best_overall.json,ok,256,16,2000000,15.0,0.0006,0.5,0.08,0.12,0.05,0.16,30,24,0.6,0.3,920060002,9,4860,-1.4,2116.7999999999997,2116.7999999999997,2116.7999999999997,False,False,0,0,432.75036787986755,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 15.0 --t_final 0.0006 --seed 920060002 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter02_selfwarm_256tr_2M"" --reseed_each_trial --warm_start_best --best_t_scale 1.35 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 30 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3 --warm_start_prob 0.60 --warm_start_min_contacts 34 --warm_start_file ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_2M\best_overall.json""",fresh pairwise QUBO; self-warm from previous in-directory best (35 contacts),36,-111578970.23816144,1,256,0.00390625,yes
64mer,42,1,nowarm_256tr_1p5M,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json,,,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_1p5M,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_1p5M\best_overall.json,ok,256,16,1500000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,28,24,0.7,0.25,920064001,10,6400,-2.5,500.0,500.0,500.0,False,False,0,0,381.05161690711975,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 1500000 --t_init 12.0 --t_final 0.0006 --seed 920064001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\iter01_nowarm_256tr_1p5M"" --reseed_each_trial -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 28 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.7 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.25",fresh pairwise QUBO; no warm start,42,-178559680.0,1,256,0.00390625,yes
