benchmark,target_contacts,iteration,label,stop_contacts,qubo_file,warm_start_file,warm_contacts,outdir,result_file,status,trials,workers,steps,t_init,t_final,pivot_prob,pull_prob,reptation_prob,regrow_prob,frag_regrow_prob,regrow_max_len,archive_size,contact_bias,qubo_polish_frac,seed,qubo_L,qubo_V,qubo_hp_reward,qubo_lambda_onehot,qubo_lambda_site,qubo_lambda_chain,qubo_enable_3body,qubo_enable_4body,qubo_cubic_terms,qubo_quartic_terms,wrapper_seconds,command,notes,contacts,energy,successes,actual_trials,hit_rate,target_hit,target_early_stop_hit,completed_worker_files,first_target_trial
60mer,36,1,stage1_nowarm_seed35_128tr_2M_targetstop,35,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json,,,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_stage1_nowarm_seed35_128tr_2M_targetstop,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_stage1_nowarm_seed35_128tr_2M_targetstop\best_overall.json,ok,128,16,2000000,15.0,0.0006,0.5,0.08,0.12,0.05,0.16,30,24,0.6,0.3,920060001,9,4860,-1.4,2116.7999999999997,2116.7999999999997,2116.7999999999997,False,False,0,0,85.23167610168457,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 128 --workers 16 --steps 2000000 --t_init 15.0 --t_final 0.0006 --seed 920060001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_stage1_nowarm_seed35_128tr_2M_targetstop"" --reseed_each_trial --target_contacts 35 --stop_on_target --poll_interval 2.0 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 30 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3",in-directory 35-contact seed discovery; no warm start,35,-111578969.90747151,0,9,0.0,no,True,3,
60mer,36,2,stage2_selfwarm_256tr_2M_targetstop,36,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_stage1_nowarm_seed35_128tr_2M_targetstop\best_overall.json,35,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_stage2_selfwarm_256tr_2M_targetstop,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_stage2_selfwarm_256tr_2M_targetstop\best_overall.json,ok,256,16,2000000,15.0,0.0006,0.5,0.08,0.12,0.05,0.16,30,24,0.6,0.3,920060002,9,4860,-1.4,2116.7999999999997,2116.7999999999997,2116.7999999999997,False,False,0,0,425.9900224208832,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 15.0 --t_final 0.0006 --seed 920060002 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_stage2_selfwarm_256tr_2M_targetstop"" --reseed_each_trial --target_contacts 36 --stop_on_target --poll_interval 2.0 --warm_start_best --best_t_scale 1.35 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 30 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3 --warm_start_prob 0.60 --warm_start_min_contacts 34 --warm_start_file ""runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_stage1_nowarm_seed35_128tr_2M_targetstop\best_overall.json""",self-warm refinement from in-directory seed; self-warm from in-directory best (35 contacts),35,-111578969.90747523,0,256,0.0,no,False,16,
60mer,36,3,stage3_selfwarm_256tr_2M_targetstop_retry,36,runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_stage2_selfwarm_256tr_2M_targetstop\best_overall.json,35,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_stage3_selfwarm_256tr_2M_targetstop_retry,runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_stage3_selfwarm_256tr_2M_targetstop_retry\best_overall.json,ok,256,16,2000000,15.0,0.0006,0.5,0.08,0.12,0.05,0.16,30,24,0.6,0.3,920060003,9,4860,-1.4,2116.7999999999997,2116.7999999999997,2116.7999999999997,False,False,0,0,235.58324480056763,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\60mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\60mer_pairwise_L9_hp1p4.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 15.0 --t_final 0.0006 --seed 920060003 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_stage3_selfwarm_256tr_2M_targetstop_retry"" --reseed_each_trial --target_contacts 36 --stop_on_target --poll_interval 2.0 --warm_start_best --best_t_scale 1.35 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 30 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.6 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.3 --warm_start_prob 0.60 --warm_start_min_contacts 34 --warm_start_file ""runs\60mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_stage2_selfwarm_256tr_2M_targetstop\best_overall.json""",self-warm retry if stage 2 misses target; self-warm from in-directory best (35 contacts),36,-111578970.23815687,1,9,0.1111111111111111,yes,True,1,8
64mer,42,1,pilot_nowarm_128tr_1p5M_targetstop,42,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json,,,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_pilot_nowarm_128tr_1p5M_targetstop,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_pilot_nowarm_128tr_1p5M_targetstop\best_overall.json,ok,128,16,1500000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,28,24,0.7,0.25,920064001,10,6400,-2.5,500.0,500.0,500.0,False,False,0,0,193.7627923488617,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 128 --workers 16 --steps 1500000 --t_init 12.0 --t_final 0.0006 --seed 920064001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter01_pilot_nowarm_128tr_1p5M_targetstop"" --reseed_each_trial --target_contacts 42 --stop_on_target --poll_interval 2.0 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 28 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.7 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.25",pilot smaller trial count; no warm start,39,-178559672.5,0,128,0.0,no,False,16,
64mer,42,2,pilot_nowarm_256tr_1M_targetstop,42,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json,,,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_pilot_nowarm_256tr_1M_targetstop,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_pilot_nowarm_256tr_1M_targetstop\best_overall.json,ok,256,16,1000000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,28,24,0.7,0.25,920064001,10,6400,-2.5,500.0,500.0,500.0,False,False,0,0,255.89384055137634,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 1000000 --t_init 12.0 --t_final 0.0006 --seed 920064001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter02_pilot_nowarm_256tr_1M_targetstop"" --reseed_each_trial --target_contacts 42 --stop_on_target --poll_interval 2.0 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 28 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.7 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.25",pilot smaller step count; no warm start,40,-178559675.0,0,256,0.0,no,False,16,
64mer,42,3,pilot_nowarm_192tr_1p2M_targetstop,42,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json,,,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_pilot_nowarm_192tr_1p2M_targetstop,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_pilot_nowarm_192tr_1p2M_targetstop\best_overall.json,ok,192,16,1200000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,28,24,0.7,0.25,920064001,10,6400,-2.5,500.0,500.0,500.0,False,False,0,0,243.90890526771545,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 192 --workers 16 --steps 1200000 --t_init 12.0 --t_final 0.0006 --seed 920064001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter03_pilot_nowarm_192tr_1p2M_targetstop"" --reseed_each_trial --target_contacts 42 --stop_on_target --poll_interval 2.0 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 28 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.7 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.25",pilot balanced trial/step budget; no warm start,39,-178559672.5,0,192,0.0,no,False,16,
64mer,42,4,fallback_nowarm_256tr_1p5M_targetstop,42,runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json,,,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter04_fallback_nowarm_256tr_1p5M_targetstop,runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter04_fallback_nowarm_256tr_1p5M_targetstop\best_overall.json,ok,256,16,1500000,12.0,0.0006,0.5,0.08,0.12,0.05,0.16,28,24,0.7,0.25,920064001,10,6400,-2.5,500.0,500.0,500.0,False,False,0,0,282.1096317768097,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\64mer\local\Final_run\fix7_pairwise_fresh_qubo\qubos\64mer_pairwise_L10_hp2p5.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 1500000 --t_init 12.0 --t_final 0.0006 --seed 920064001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 35000 --reheat_factor 2.4 --outdir ""runs\64mer\local\Final_run\fix7_pairwise_targetstop_runtime_reduced\iter04_fallback_nowarm_256tr_1p5M_targetstop"" --reseed_each_trial --target_contacts 42 --stop_on_target --poll_interval 2.0 -- --pivot_prob 0.5 --pivot_max_tail 0 --pull_prob 0.08 --reptation_prob 0.12 --regrow_prob 0.05 --frag_regrow_prob 0.16 --regrow_max_len 28 --init_mode seq_greedy --archive_size 24 --archive_min_hamming_frac 0.24 --archive_contact_slack 5 --contact_priority_best --contact_check_every 50 --contact_guided_accept --contact_bias 0.7 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0008 --qubo_polish_frac 0.25",validated fixed-budget setting with target-aware stop; no warm start,42,-178559680.0,1,12,0.08333333333333333,yes,True,1,11



