benchmark,target_contacts,iteration,label,warm_start_file,warm_contacts,outdir,result_file,command_file,status,requested_trials,workers,steps,t_init,t_final,seed,L,S,V,hp_reward,lambda_onehot,lambda_site,lambda_chain,scale_alpha,qubo_size_mb,wrapper_seconds,cumulative_runtime_s,command,notes,contacts,energy,successes,actual_trials,hit_rate,target_hit,target_early_stop_hit,completed_worker_files,first_target_trial
85mer,53,1,warm256_2M_16w,runs\85mer\local\Final_run\fix7_istrail_long_warm_budget\iter01_warm96_1p2M_hp3\best_overall.json,52,runs\85mer\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w,runs\85mer\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json,runs\85mer\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\command.txt,ok,256,16,2000000,20.0,0.0005,950085001,12,144,12240,-3.0,600.0,600.0,600.0,0.8333333333333334,448.242,1124.2371480464935,1124.2371480464935,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\85mer\local\Final_run\fix7_istrail_long_warm_budget\qubos\85mer_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 20.0 --t_final 0.0005 --seed 950085001 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\85mer\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w"" --reseed_each_trial --target_contacts 53 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 56 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.2 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 49 --warm_start_file ""runs\85mer\local\Final_run\fix7_istrail_long_warm_budget\iter01_warm96_1p2M_hp3\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,53,-491668172.5,1,63,0.015873015873015872,yes,True,4,30
100merA,48,1,warm256_2M_16w,runs\100merA\local\Final_run\fix7_istrail_long_warm_budget\iter02_warm128_1p5M_hp3_retry\best_overall.json,46,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\command.txt,ok,256,16,2000000,20.0,0.0005,950100101,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,531.161,1323.0237188339233,1323.0237188339233,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merA\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merA_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 20.0 --t_final 0.0005 --seed 950100101 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w"" --reseed_each_trial --target_contacts 48 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 60 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.2 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 43 --warm_start_file ""runs\100merA\local\Final_run\fix7_istrail_long_warm_budget\iter02_warm128_1p5M_hp3_retry\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,46,-592583632.3083628,0,256,0.0,no,False,16,
100merA,48,2,warm512_2p5M_16w_retry,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json,46,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\command.txt,ok,512,16,2500000,20.0,0.0005,950100102,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,531.161,3109.9380011558533,4432.961719989777,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merA\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merA_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 512 --workers 16 --steps 2500000 --t_init 20.0 --t_final 0.0005 --seed 950100102 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry"" --reseed_each_trial --target_contacts 48 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 64 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.25 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 43 --warm_start_file ""runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,47,-592583634.6160561,0,512,0.0,no,False,16,
100merA,48,3,warm768_3M_16w_final_refine,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json,47,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine\best_overall.json,runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine\command.txt,ok,768,16,3000000,22.0,0.0005,950100103,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,531.161,5546.305381059647,9979.267101049423,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merA\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merA_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 768 --workers 16 --steps 3000000 --t_init 22.0 --t_final 0.0005 --seed 950100103 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine"" --reseed_each_trial --target_contacts 48 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 72 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.35 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 44 --warm_start_file ""runs\100merA\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,47,-592583634.6160554,0,768,0.0,no,False,16,
100merB,50,1,warm256_2M_16w,runs\100merB\local\Final_run\fix7_istrail_long_warm_budget\iter02_warm128_1p5M_hp3_retry\best_overall.json,46,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\command.txt,ok,256,16,2000000,20.0,0.0005,950100201,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,535.301,1280.4767212867737,1280.4767212867737,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merB\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merB_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 256 --workers 16 --steps 2000000 --t_init 20.0 --t_final 0.0005 --seed 950100201 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w"" --reseed_each_trial --target_contacts 50 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 60 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.2 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 43 --warm_start_file ""runs\100merB\local\Final_run\fix7_istrail_long_warm_budget\iter02_warm128_1p5M_hp3_retry\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,47,-592566880.7699203,0,256,0.0,no,False,16,
100merB,50,2,warm512_2p5M_16w_retry,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json,47,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\command.txt,ok,512,16,2500000,20.0,0.0005,950100202,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,535.301,3070.80486869812,4351.281589984894,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merB\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merB_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 512 --workers 16 --steps 2500000 --t_init 20.0 --t_final 0.0005 --seed 950100202 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry"" --reseed_each_trial --target_contacts 50 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 64 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.25 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 44 --warm_start_file ""runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter01_warm256_2M_16w\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,49,-592566885.3852999,0,512,0.0,no,False,16,
100merB,50,3,warm768_3M_16w_final_refine,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json,49,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine\best_overall.json,runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine\command.txt,ok,768,16,3000000,22.0,0.0005,950100203,12,144,14400,-3.0,650.0,650.0,650.0,0.7692307692307693,535.301,5431.796658992767,9783.078248977661,"python ""src/HP_ssa_manybody_parallel_runner_cpu_fast_passthru.py"" --ising ""runs\100merB\local\Final_run\fix7_istrail_long_warm_budget\qubos\100merB_pairwise_L12_hp3p0.json"" --solver_script ""src/HP_ssa_manybody_ising_cpu_numba_saw_pivot_fix7_contactguided.py"" --total_trials 768 --workers 16 --steps 3000000 --t_init 22.0 --t_final 0.0005 --seed 950100203 --device cpu --dtype float64 --move_mode residue --block_size 0 --reheat_every 30000 --reheat_factor 2.6 --outdir ""runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter03_warm768_3M_16w_final_refine"" --reseed_each_trial --target_contacts 50 --stop_on_target --poll_interval 3.0 --warm_start_best --best_t_scale 1.45 -- --pivot_prob 0.52 --pivot_max_tail 0 --pull_prob 0.10 --reptation_prob 0.12 --regrow_prob 0.06 --frag_regrow_prob 0.20 --regrow_max_len 72 --init_mode seq_greedy --archive_size 40 --archive_min_hamming_frac 0.22 --archive_contact_slack 8 --contact_priority_best --contact_check_every 75 --contact_guided_accept --contact_bias 1.35 --contact_bias_final_frac 0.10 --contact_paving_weight 0.0012 --qubo_polish_frac 0.18 --warm_start_prob 0.70 --warm_start_min_contacts 46 --warm_start_file ""runs\100merB\local\Final_run\fix7_istrail_long_16w_big_budget\iter02_warm512_2p5M_16w_retry\best_overall.json""",16 workers; RB-full-produced warm start; hp_reward=-3.0 QUBO,49,-592566885.3853004,0,768,0.0,no,False,16,



