Benchmark,N,Target,RB best,RB hit,RB runtime s,RB hit rate,RB trials,RB workers,RB steps/trial,RB s/trial-step,VA best,VA hit,VA runtime s,VA/RB runtime ratio,VA T0,VA Nwarmup,VA Nannealing,VA Ntrain,VA M,VA target fraction,VA samples/s,Notes,Regular QUBO-SA best,Regular QUBO-SA hit,Regular QUBO-SA runtime s,Regular QUBO-SA hit rate,Regular QUBO-SA trials,Regular QUBO-SA steps/trial
20merA,20,9,9,yes,1.336,0.5000,4,4,20000,1.67e-05,9,yes,965.509,722.7,1.0,1000,10000,5,200,0.1141681,10357.2,Both hit target; RB-full faster locally.,7,no,2.037,0.0000,4,20000
20merB,20,10,10,yes,1.356,0.6250,16,8,50000,1.70e-06,10,yes,1000.652,737.9,1.0,1000,10000,5,200,0.1101924,9993.5,Both hit target; RB-full faster locally.,8,no,2.062,0.0000,16,50000
24mer,24,9,9,yes,1.466,0.3750,24,8,60000,1.02e-06,9,yes,1321.199,901.2,1.0,1000,10000,5,200,0.0698731,7568.9,Both hit target; RB-full faster locally.,6,no,2.059,0.0000,24,60000
25mer,25,8,8,yes,1.710,0.4167,24,8,60000,1.19e-06,8,yes,1411.220,825.3,1.0,1000,10000,5,200,0.1023701,7086.1,Both hit target; RB-full faster locally.,4,no,2.061,0.0000,24,60000
36mer,36,14,14,yes,3.376,0.1562,32,8,100000,1.06e-06,14,yes,3295.744,976.2,1.0,1000,10000,5,200,0.0780187,3034.2,Both hit target; RB-full faster locally.,8,no,2.067,0.0000,32,100000
48mer,48,23,23,yes,37.103,0.1562,64,16,500000,1.16e-06,20,no,5512.697,148.6,5.0,1000,10000,5,200,0.0000000,1814.0,RB-full hit target; local VA seed-0 run did not.,14,no,14.195,0.0000,64,500000
50mer,50,21,21,yes,24.862,0.1562,64,16,300000,1.29e-06,20,no,5854.871,235.5,5.0,1000,10000,5,200,0.0000000,1708.0,RB-full hit target; local VA seed-0 corrected 10M run did not.,13,no,12.253,0.0000,64,300000
60mer,60,36,36,yes,746.805,0.0036,274,16,2000000,1.36e-06,35,no,35603.110,47.7,0.5,1000,40000,5,200,0.0000000,1123.5,RB-full hit target; local VA seed-0 run was one contact short.,30,no,86.416,0.0000,274,2000000
64mer,64,42,42,yes,282.110,0.0833,12,16,1500000,1.57e-05,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,RB-full benchmark extension beyond the reproduced VA set.,30,no,12.140,0.0000,12,1500000
85mer,85,53,53,yes,1124.237,0.0159,63,16,2000000,8.92e-06,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,RB-full Istrail-long target hit with L=12 16-worker warm-budget run.,not run,not run,not run,not run,not run,not run
100merA,100,48,48,yes,7285.698,0.0526,531,16,staged 2.5M/3.0M,5.45e-06,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,RB-full Istrail-long target hit after L=13 refinement from remapped RB-full warm start.,not run,not run,not run,not run,not run,not run
100merB,100,50,50,yes,6698.349,0.0667,527,16,staged 2.5M/3.0M,5.06e-06,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,not run,RB-full Istrail-long target hit after L=13 refinement from remapped RB-full warm start.,not run,not run,not run,not run,not run,not run




